scope,symbol,alignment_state,count,1h.valid,1h.mean_return_bps,1h.median_return_bps,1h.positive_return_rate,1h.mfe_long_median_bps,1h.mae_long_median_bps,1h.long_stop_hit_rate,1h.long_take_hit_rate,1h.short_stop_hit_rate,1h.short_take_hit_rate,2h.valid,2h.mean_return_bps,2h.median_return_bps,2h.positive_return_rate,2h.mfe_long_median_bps,2h.mae_long_median_bps,2h.long_stop_hit_rate,2h.long_take_hit_rate,2h.short_stop_hit_rate,2h.short_take_hit_rate,4h.valid,4h.mean_return_bps,4h.median_return_bps,4h.positive_return_rate,4h.mfe_long_median_bps,4h.mae_long_median_bps,4h.long_stop_hit_rate,4h.long_take_hit_rate,4h.short_stop_hit_rate,4h.short_take_hit_rate
SYMBOL,ETHUSDT,BULL_MATRIX__BEAR_TOPOLOGY,187,187,0.47420999071875836,-1.5559493452033113,0.4919786096256685,22.46103697667312,-25.49252400094071,0.21390374331550802,0.22459893048128343,0.22459893048128343,0.21390374331550802,187,-4.038624105572695,-5.962870483258165,0.42780748663101603,36.19019029035498,-36.67700381679406,0.3582887700534759,0.35294117647058826,0.35294117647058826,0.3582887700534759,187,-6.9791781795146886,-6.439901456540831,0.45989304812834225,48.32962138084484,-55.69345916862978,0.5240641711229946,0.48128342245989303,0.48128342245989303,0.5240641711229946
SYMBOL,ETHUSDT,BULL_MATRIX__BULL_TOPOLOGY,337,337,-5.120114699572689,-1.1119759813182917,0.47477744807121663,21.411330398977135,-25.768714917292492,0.24925816023738873,0.18694362017804153,0.18694362017804153,0.24925816023738873,337,-5.121397232045838,-0.3844358404037074,0.49851632047477745,32.9936419977428,-38.72019563888496,0.39762611275964393,0.314540059347181,0.314540059347181,0.39762611275964393,337,-5.390388200431642,-2.331445150594025,0.4836795252225519,46.40890884373583,-52.521008403362266,0.5222551928783383,0.47774480712166173,0.47774480712166173,0.5222551928783383
SYMBOL,ETHUSDT,BULL_MATRIX__NEUTRAL_TOPOLOGY,1021,1020,1.7203076615026787,0.47257126876143474,0.5073457394711067,24.689720338135768,-24.067438437608835,0.2196078431372549,0.24215686274509804,0.24215686274509804,0.2196078431372549,1020,2.968429208591057,-1.025194951101982,0.49069539666993145,36.64917769716336,-35.10165964991763,0.346078431372549,0.38529411764705884,0.38529411764705884,0.346078431372549,1020,3.472297036154876,0.1319352147977071,0.5004897159647405,54.81699047410915,-52.44641154827645,0.5235294117647059,0.5284313725490196,0.5284313725490196,0.5235294117647059
SYMBOL,ETHUSDT,NEUTRAL_MATRIX__BEAR_TOPOLOGY,2,2,-85.54417491993703,-85.54417491993703,0.0,43.012066106155046,-141.24697129255958,1.0,0.5,0.5,1.0,2,-104.22981412659183,-104.22981412659183,0.0,43.012066106155046,-156.91677030191752,1.0,0.5,0.5,1.0,2,-43.62419022045815,-43.62419022045815,0.5,122.60287965828786,-213.11943950421352,1.0,0.5,0.5,1.0
SYMBOL,ETHUSDT,NEUTRAL_MATRIX__BULL_TOPOLOGY,5,5,11.743801221513417,-29.091155514251454,0.4,26.622521685253364,-48.017348203222014,0.4,0.4,0.4,0.4,5,13.46012973884658,-12.246359975217613,0.2,26.622521685253364,-58.956784386619,0.8,0.4,0.4,0.8,5,79.46152650886518,3.297974453004837,0.6,86.92869976126616,-95.5428121385138,0.8,0.6,0.6,0.8
SYMBOL,ETHUSDT,NEUTRAL_MATRIX__NEUTRAL_TOPOLOGY,32,32,12.60299245626685,13.867239475165993,0.5625,51.61631091778251,-30.51384637669352,0.28125,0.5,0.5,0.28125,32,26.198579713561443,33.359961331854706,0.5625,85.2685882215487,-36.6666095971041,0.46875,0.625,0.625,0.46875,32,31.92504878046787,58.27419452448912,0.6875,136.45749724508715,-64.43644103176993,0.5625,0.75,0.75,0.5625
SYMBOL,SOLUSDT,BEAR_MATRIX__BEAR_TOPOLOGY,340,340,-2.2374707522993966,2.2655432518281504,0.5205882352941177,29.401896951670725,-35.97469612619142,0.3735294117647059,0.27058823529411763,0.27058823529411763,0.3735294117647059,340,-5.243184234422874,7.740054000654473,0.5529411764705883,40.907573460212674,-46.5005204767388,0.47352941176470587,0.4088235294117647,0.4088235294117647,0.47352941176470587,340,-13.60630785605183,-1.8203453834625405,0.49411764705882355,57.72888947697341,-67.30232118893787,0.6088235294117647,0.5588235294117647,0.5588235294117647,0.6088235294117647
SYMBOL,SOLUSDT,BEAR_MATRIX__BULL_TOPOLOGY,193,193,-5.916223522061373,1.1807769512350852,0.5025906735751295,29.351710056151337,-28.575316369573443,0.3316062176165803,0.31088082901554404,0.31088082901554404,0.3316062176165803,193,-11.167837705554556,-7.028230057397611,0.45595854922279794,38.2912528419288,-49.67288587351737,0.49740932642487046,0.44559585492227977,0.44559585492227977,0.49740932642487046,193,-14.378830859870803,-7.7439339184304234,0.44559585492227977,58.350765165693375,-72.47237733159051,0.6528497409326425,0.5595854922279793,0.5595854922279793,0.6528497409326425
SYMBOL,SOLUSDT,BEAR_MATRIX__NEUTRAL_TOPOLOGY,999,998,1.099124809819364,1.262008209583776,0.5055055055055055,29.085592556981066,-30.219310416759736,0.30561122244488975,0.2665330661322645,0.2665330661322645,0.30561122244488975,998,1.309048198061326,3.140630512693532,0.5245245245245245,41.100115387761036,-42.47157907793175,0.43887775551102204,0.40981963927855714,0.40981963927855714,0.43887775551102204,998,2.58417857050385,0.0,0.4954954954954955,58.64351320622796,-64.17891554239941,0.5771543086172345,0.5601202404809619,0.5601202404809619,0.5771543086172345
SYMBOL,SOLUSDT,BULL_MATRIX__BEAR_TOPOLOGY,319,319,-0.9514430743434672,-2.7144408251911223,0.47648902821316613,28.49939712813665,-33.788349776996405,0.335423197492163,0.27586206896551724,0.27586206896551724,0.335423197492163,319,-2.334218028358346,-1.1910433539774612,0.4890282131661442,42.684372776855554,-46.423044875609776,0.47335423197492166,0.4169278996865204,0.4169278996865204,0.47335423197492166,319,0.24734804147718076,-3.5855145213337103,0.47962382445141066,58.34027860459612,-68.97401157778037,0.6394984326018809,0.5830721003134797,0.5830721003134797,0.6394984326018809
