entry_timeframe,alignment,window_minutes,events,mean_mfe_bps,median_mfe_bps,q25_mfe_bps,q75_mfe_bps,q90_mfe_bps,mean_mae_bps,median_mae_bps,q10_mae_bps,mean_terminal_return_bps,median_terminal_return_bps,terminal_win_rate,terminal_loss_rate,mean_time_to_mfe_minutes,median_time_to_mfe_minutes,target_25bps_hit_rate,target_25bps_median_hit_minutes,target_50bps_hit_rate,target_50bps_median_hit_minutes,target_100bps_hit_rate,target_100bps_median_hit_minutes,t25_s25_target_first_rate,t25_s25_stop_first_rate,t25_s25_resolved_events,t25_s25_resolved_target_win_rate,t50_s25_target_first_rate,t50_s25_stop_first_rate,t50_s25_resolved_events,t50_s25_resolved_target_win_rate,t50_s50_target_first_rate,t50_s50_stop_first_rate,t50_s50_resolved_events,t50_s50_resolved_target_win_rate,t100_s50_target_first_rate,t100_s50_stop_first_rate,t100_s50_resolved_events,t100_s50_resolved_target_win_rate,t100_s100_target_first_rate,t100_s100_stop_first_rate,t100_s100_resolved_events,t100_s100_resolved_target_win_rate
1h,DAILY_ONLY,240,365,98.83366783261351,56.84528762411878,25.44671050187519,121.07589595327539,241.6722962128075,-90.3297840012569,-59.83952128382985,-198.16646563566675,0.8985994641950926,-4.708892350796523,0.4684931506849315,0.5315068493150685,100.63013698630137,84.0,0.7561643835616438,19.0,0.5452054794520548,39.0,0.3041095890410959,63.0,0.4904109589041096,0.4958904109589041,360,0.49722222222222223,0.29863013698630136,0.6301369863013698,339,0.3215339233038348,0.4054794520547945,0.4410958904109589,309,0.47896440129449835,0.2,0.5342465753424658,268,0.27238805970149255,0.27671232876712326,0.2958904109589041,209,0.48325358851674644
1h,FULL_ALIGNMENT,15,158,30.407011841949423,19.193376653312555,7.1446413535214415,37.34592779776447,72.14821045487058,-23.998673668636986,-17.63935093196278,-53.50654892310636,4.592129960512485,-0.6940158882506875,0.4873417721518987,0.5063291139240507,7.531645569620253,7.0,0.41139240506329117,6.0,0.17721518987341772,6.0,0.05063291139240506,10.5,0.3860759493670886,0.26582278481012656,103,0.5922330097087378,0.15822784810126583,0.310126582278481,74,0.33783783783783783,0.17721518987341772,0.11392405063291139,46,0.6086956521739131,0.05063291139240506,0.12025316455696203,27,0.2962962962962963,0.05063291139240506,0.0189873417721519,11,0.7272727272727273
1h,FULL_ALIGNMENT,30,158,42.0044391160739,25.2688902376319,11.058353061456083,51.32392099968574,101.54919910326024,-31.2503166621048,-25.302388695909173,-65.4599374898216,5.979004174135708,-2.7135697134872405,0.47468354430379744,0.5253164556962026,13.582278481012658,12.0,0.5189873417721519,7.0,0.25949367088607594,12.0,0.10759493670886076,16.0,0.44936708860759494,0.3924050632911392,133,0.5338345864661654,0.2088607594936709,0.4810126582278481,109,0.30275229357798167,0.24050632911392406,0.15822784810126583,63,0.6031746031746031,0.0949367088607595,0.17721518987341772,43,0.3488372093023256,0.10759493670886076,0.02531645569620253,21,0.8095238095238095
1h,FULL_ALIGNMENT,60,158,61.48578565642376,34.1689437790138,14.667053361080429,77.50399693452592,141.82147575845312,-43.32833134181316,-34.03816870729326,-84.4187642386871,14.681804121486657,-1.244954545410737,0.4873417721518987,0.5063291139240507,25.670886075949365,24.5,0.6075949367088608,9.0,0.3670886075949367,17.0,0.17721518987341772,26.5,0.47468354430379744,0.4240506329113924,142,0.528169014084507,0.24050632911392406,0.5632911392405063,127,0.2992125984251969,0.3291139240506329,0.2721518987341772,95,0.5473684210526316,0.1518987341772152,0.3037974683544304,72,0.3333333333333333,0.17721518987341772,0.0759493670886076,40,0.7
1h,FULL_ALIGNMENT,120,158,89.9749235507567,42.68314004782225,18.439275551601632,101.72669354762853,246.03332556727133,-61.31126469920018,-46.75102985028712,-128.76142255009268,19.268198756493735,-6.353269059150568,0.4430379746835443,0.5506329113924051,49.94303797468354,42.0,0.7088607594936709,11.0,0.4430379746835443,20.0,0.25949367088607594,36.0,0.5,0.44936708860759494,150,0.5266666666666666,0.26582278481012656,0.6139240506329114,139,0.302158273381295,0.37341772151898733,0.37341772151898733,118,0.5,0.2088607594936709,0.4430379746835443,103,0.32038834951456313,0.25949367088607594,0.15822784810126583,66,0.6212121212121212
1h,FULL_ALIGNMENT,240,158,125.57595159222598,67.94801580400801,31.191683653090664,158.0834857179769,343.532463503867,-93.06619275772725,-60.69409872895226,-193.60791183603044,21.934956765304285,2.5529632458243245,0.5253164556962026,0.47468354430379744,111.37341772151899,102.5,0.8291139240506329,16.0,0.6075949367088608,40.0,0.36075949367088606,62.0,0.5253164556962026,0.45569620253164556,155,0.535483870967742,0.2974683544303797,0.6455696202531646,149,0.31543624161073824,0.43670886075949367,0.44936708860759494,140,0.4928571428571429,0.25316455696202533,0.5506329113924051,127,0.31496062992125984,0.34177215189873417,0.2848101265822785,99,0.5454545454545454
1m,DAILY_4H,15,14331,21.984360139640756,13.40996168582409,5.225123177151625,28.089750802587908,51.17306075875572,-21.308656445055266,-14.001946643453778,-47.254187079868174,-0.0795855735393976,-0.6035913686441852,0.48405554392575534,0.5106412671830298,7.231246947177447,7.0,0.2874188821436048,6.0,0.1040401925894913,8.0,0.02386435001046682,10.0,0.263205638127137,0.25525085479031473,7430,0.5076716016150741,0.09127067196985555,0.2776498499755774,5287,0.24739928125591074,0.10180727095108506,0.08526969506663876,2681,0.5441999254009698,0.0226781103900635,0.08820040471704696,1589,0.20453115166771554,0.023794571209266625,0.017654036703649432,594,0.5740740740740741
1m,DAILY_4H,30,14331,32.11576383126929,19.537829279794305,7.809025856063689,40.68312550913001,74.57300938176647,-30.880300780964465,-20.20234909659191,-69.99761507274104,-0.016586846604103842,-1.058761249338458,0.4824506314981509,0.5138510920382388,14.119600865257135,13.0,0.4149047519363617,10.0,0.18679785081292302,14.0,0.05512525294815435,17.0,0.3579652501570023,0.3562905589281976,10236,0.5011723329425557,0.15072221059242202,0.4034610285395297,7942,0.2719717955175019,0.17807550066289862,0.1662131044588654,4934,0.5172274017024726,0.05107808247854302,0.17633103063289374,3259,0.2246087756980669,0.05449724373735259,0.04319307794292094,1400,0.5578571428571428
1m,DAILY_4H,60,14331,46.73330165882673,28.786070350346193,12.031815009129199,58.19126416025999,106.26945760909167,-44.624843726597064,-29.401315708877938,-102.17263652378183,0.26973980550241816,-1.114601507214985,0.4868466959737632,0.5110599399902309,28.154420487056033,27.0,0.5452515525783267,14.0,0.3006070755704417,24.0,0.11269276393831554,31.0,0.4288605121764008,0.4323494522364106,12342,0.4979743963701183,0.22105924220221895,0.516781801688647,10574,0.29960279931908457,0.27555648593957155,0.2706021910543577,7827,0.5045355819598825,0.10069081013188193,0.2954434442816272,5677,0.25418354764840584,0.1103900634987091,0.10020235852348057,3018,0.5241882041086813
1m,DAILY_4H,120,14331,68.17037554174863,41.75827092447682,17.921309162154397,85.09026316866564,155.42802486848473,-64.35194313528046,-42.3163660907,-149.4358035986587,-0.5466519843635305,-1.645410262002267,0.4846835531365571,0.5129439676226363,55.34575395994697,52.0,0.665340869443863,20.0,0.4366059591096225,38.0,0.20180029307096503,54.0,0.4721233689205219,0.4738678389505268,13557,0.4990779671018662,0.2809294536319866,0.5932593678040611,12528,0.321360153256705,0.37387481683064683,0.3667573791082269,10614,0.5048049745618994,0.16635266206126578,0.41783546158676993,8372,0.28475871954132825,0.1917521456981369,0.18240178633731072,5362,0.5124953375606117
