symbol,entry_timeframe,alignment,window_minutes,events,mean_mfe_bps,median_mfe_bps,q25_mfe_bps,q75_mfe_bps,q90_mfe_bps,mean_mae_bps,median_mae_bps,q10_mae_bps,mean_terminal_return_bps,median_terminal_return_bps,terminal_win_rate,mean_time_to_mfe_minutes,median_time_to_mfe_minutes,mean_mfe_mae_ratio,target_10bps_hit_rate,target_10bps_median_hit_minutes,target_25bps_hit_rate,target_25bps_median_hit_minutes,target_50bps_hit_rate,target_50bps_median_hit_minutes,target_75bps_hit_rate,target_75bps_median_hit_minutes,target_100bps_hit_rate,target_100bps_median_hit_minutes,target_150bps_hit_rate,target_150bps_median_hit_minutes,target_200bps_hit_rate,target_200bps_median_hit_minutes,t25_s25_target_first_rate,t25_s25_stop_first_rate,t25_s25_resolved_target_win_rate,t50_s25_target_first_rate,t50_s25_stop_first_rate,t50_s25_resolved_target_win_rate,t50_s50_target_first_rate,t50_s50_stop_first_rate,t50_s50_resolved_target_win_rate,t100_s50_target_first_rate,t100_s50_stop_first_rate,t100_s50_resolved_target_win_rate,t100_s100_target_first_rate,t100_s100_stop_first_rate,t100_s100_resolved_target_win_rate,ranking_metric,ranking_value
ALL,5m,DAILY_4H_1H,240,1650,110.6748359419023,67.27922500094908,28.49721873076472,139.86445200659227,270.3064651616645,-97.91891277453551,-66.6219880114266,-216.41564160093498,-1.5920692207758669,-8.93411688336565,0.45696969696969697,102.44121212121212,88.0,23.84198894570473,0.9066666666666666,5.0,0.78,21.0,0.6139393939393939,49.0,0.46060606060606063,65.0,0.35515151515151516,80.0,0.23030303030303031,97.0,0.16,115.0,0.4909090909090909,0.4951515151515152,0.49784880147510757,0.33151515151515154,0.6387878787878788,0.34166146158650845,0.4793939393939394,0.4303030303030303,0.5269820119920053,0.25696969696969696,0.54,0.3224334600760456,0.3212121212121212,0.29393939393939394,0.5221674876847291,mean_mfe_bps,110.6748359419023
ALL,1m,DAILY_4H_1H,240,8600,110.58836535549368,66.12637719206282,28.194846821433806,136.73252633799316,261.2412041955375,-97.61936963653693,-66.61787938067488,-219.20786559339388,-1.7870947667572876,-5.8234006562157825,0.4705813953488372,106.13116279069767,95.5,33.9532821712473,0.9036046511627907,6.0,0.7756976744186046,23.0,0.5938372093023255,50.0,0.4543023255813953,70.0,0.3524418604651163,85.0,0.22267441860465118,103.0,0.15267441860465117,118.0,0.5058139534883721,0.4797674418604651,0.5132137800849458,0.3317441860465116,0.63,0.34494015233949943,0.4653488372093023,0.43732558139534883,0.5155223496071106,0.25546511627906976,0.5409302325581395,0.32077675573076364,0.3177906976744186,0.2990697674418605,0.5151743638077285,mean_mfe_bps,110.58836535549368
ALL,1m,FULL_ALIGNMENT,120,2799,92.42754690286708,55.33383559691352,22.402381600212795,116.12002231271234,221.88445322107023,-72.98587082751088,-48.611381325158746,-167.69476081237488,4.235704801480967,-2.7467579250728402,0.48160057163272596,53.11611289746338,48.0,42.52019430582348,0.8749553411932833,5.0,0.7259735619864237,14.0,0.5344765987852804,29.0,0.3865666309396213,37.0,0.2897463379778492,43.0,0.17970703822793854,57.0,0.11825652018578063,62.0,0.5080385852090032,0.45837799214005004,0.5256931608133086,0.32618792425866383,0.5966416577349053,0.3534649632210608,0.4437299035369775,0.3762057877813505,0.5411764705882353,0.22615219721329047,0.44765987852804573,0.3356309650053022,0.2675955698463737,0.20507324044301536,0.5661375661375662,mean_mfe_bps,92.42754690286708
ALL,5m,DAILY_4H_1H_15M,120,766,91.14828990192399,52.16107780355195,20.561333217607448,102.74501936470226,216.53851743667963,-74.89729011877982,-52.40316564165681,-167.3954148180834,-5.322783170460087,-7.008019156126699,0.4490861618798956,49.20626631853786,41.0,7.25712133691119,0.8668407310704961,4.0,0.6984334203655352,14.0,0.5143603133159269,27.0,0.3524804177545692,35.5,0.25718015665796345,45.0,0.1671018276762402,54.0,0.10966057441253264,52.5,0.47911227154047,0.47911227154047,0.5,0.32114882506527415,0.5966057441253264,0.34992887624466573,0.42428198433420367,0.3825065274151436,0.5258899676375405,0.2010443864229765,0.47911227154047,0.29558541266794625,0.24281984334203655,0.21279373368146215,0.5329512893982808,mean_mfe_bps,91.14828990192399
ALL,5m,FULL_ALIGNMENT,120,766,91.14828990192399,52.16107780355195,20.561333217607448,102.74501936470226,216.53851743667963,-74.89729011877982,-52.40316564165681,-167.3954148180834,-5.322783170460087,-7.008019156126699,0.4490861618798956,49.20626631853786,41.0,7.25712133691119,0.8668407310704961,4.0,0.6984334203655352,14.0,0.5143603133159269,27.0,0.3524804177545692,35.5,0.25718015665796345,45.0,0.1671018276762402,54.0,0.10966057441253264,52.5,0.47911227154047,0.47911227154047,0.5,0.32114882506527415,0.5966057441253264,0.34992887624466573,0.42428198433420367,0.3825065274151436,0.5258899676375405,0.2010443864229765,0.47911227154047,0.29558541266794625,0.24281984334203655,0.21279373368146215,0.5329512893982808,mean_mfe_bps,91.14828990192399
ALL,1h,FULL_ALIGNMENT,120,158,89.9749235507567,42.68314004782225,18.439275551601632,101.72669354762853,246.03332556727133,-61.31126469920018,-46.75102985028712,-128.76142255009268,19.268198756493735,-6.353269059150568,0.4430379746835443,49.94303797468354,42.0,6.2518804256079425,0.8734177215189873,5.5,0.7088607594936709,11.0,0.4430379746835443,20.0,0.34810126582278483,28.0,0.25949367088607594,36.0,0.18354430379746836,45.0,0.12658227848101267,73.5,0.5,0.44936708860759494,0.5266666666666666,0.26582278481012656,0.6139240506329114,0.302158273381295,0.37341772151898733,0.37341772151898733,0.5,0.2088607594936709,0.4430379746835443,0.32038834951456313,0.25949367088607594,0.15822784810126583,0.6212121212121212,mean_mfe_bps,89.9749235507567
ALL,1h,DAILY_4H_1H_15M,120,162,89.11774688044963,42.68314004782225,18.439275551601632,100.99565285604129,244.76745025078017,-60.365459205007355,-46.568146104402075,-122.56252610101936,19.250403924622766,-5.298090108818987,0.4506172839506173,51.30246913580247,42.5,6.185709276670037,0.8765432098765432,6.0,0.7098765432098766,11.0,0.4444444444444444,22.5,0.35185185185185186,29.0,0.25308641975308643,36.0,0.17901234567901234,45.0,0.12345679012345678,73.5,0.5,0.4444444444444444,0.5294117647058824,0.2654320987654321,0.6049382716049383,0.3049645390070922,0.37037037037037035,0.37037037037037035,0.5,0.2037037037037037,0.4382716049382716,0.3173076923076923,0.25308641975308643,0.15432098765432098,0.6212121212121212,mean_mfe_bps,89.11774688044963
ALL,1h,DAILY_4H_1H,120,168,87.93267414929373,42.68314004782225,17.6014194440971,101.63219759100117,243.20895301558124,-61.50803051449735,-46.75102985028712,-143.29352419955242,17.85523048655263,-5.298090108818987,0.4523809523809524,51.351190476190474,42.0,6.200519590456131,0.875,6.0,0.7083333333333334,11.0,0.44642857142857145,25.0,0.35119047619047616,31.0,0.25595238095238093,37.0,0.17261904761904762,45.0,0.11904761904761904,73.5,0.49404761904761907,0.4523809523809524,0.5220125786163522,0.26785714285714285,0.6071428571428571,0.30612244897959184,0.36904761904761907,0.38095238095238093,0.49206349206349204,0.20833333333333334,0.44642857142857145,0.3181818181818182,0.25595238095238093,0.16666666666666666,0.6056338028169014,mean_mfe_bps,87.93267414929373
ALL,1m,DAILY_4H_1H_15M,120,4826,85.60525913047947,49.39879049583262,20.519483809109396,103.15752390641808,201.9760470017795,-70.88900380343975,-46.87859285791907,-164.9684472397861,1.8216978043341057,-3.3487562874934262,0.4763779527559055,53.516991297140486,49.0,37.5799904006139,0.8707003729796934,5.0,0.7034811438043929,16.0,0.49668462494819726,30.0,0.3578532946539577,40.0,0.25922088686282635,48.0,0.160588479071695,61.0,0.1013261500207211,66.0,0.4977206796518856,0.46062992125984253,0.5193513513513514,0.30708661417322836,0.5932449233319519,0.3410817031070196,0.4144218814753419,0.37588064649813513,0.5243838489774515,0.20430998756734356,0.4444674678823042,0.3149153625039923,0.24140074595938665,0.20576046415250726,0.5398517145505097,mean_mfe_bps,85.60525913047947
ALL,15m,FULL_ALIGNMENT,120,422,83.53261884267553,54.90638929858905,18.24278522476408,110.53367860957397,198.6581227159934,-74.05236473334243,-54.346634408297675,-159.7203098283002,3.922541655764018,-8.672582878881396,0.4431279620853081,52.208530805687204,42.5,7.268231585079693,0.8601895734597157,4.0,0.7109004739336493,10.0,0.5284360189573459,26.0,0.3933649289099526,32.5,0.2843601895734597,45.0,0.16824644549763032,58.0,0.0971563981042654,61.0,0.504739336492891,0.44075829383886256,0.5338345864661654,0.33649289099526064,0.566350710900474,0.37270341207349084,0.44786729857819907,0.3815165876777251,0.54,0.22985781990521326,0.4786729857819905,0.32441471571906355,0.27014218009478674,0.22274881516587677,0.5480769230769231,mean_mfe_bps,83.53261884267553
