side,horizon_minutes,feature_group,head,symbol,folds,threshold_mean,threshold_std,threshold_min,threshold_max,threshold_range,fallback_rate,symbol_specific_rate,test_precision_mean,test_precision_std,test_coverage_mean,stable_threshold
SHORT,15,position_plus_topology_compact_matrix,exit,SOLUSDT,3,0.38333333333333336,0.04714045207910321,0.35000000000000003,0.4500000000000001,0.10000000000000009,0.0,1.0,0.4411622236284718,0.034264094622136004,0.2967735398895317,True
SHORT,15,position_plus_topology_compact_matrix,hold,ALL,3,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,0.0,0.0,0.0,0.3886277277836738,0.044375686425092147,0.22690566720984973,True
SHORT,15,position_plus_topology_compact_matrix,hold,BTCUSDT,3,0.3666666666666667,0.023570226039551605,0.35000000000000003,0.4000000000000001,0.050000000000000044,0.6666666666666666,1.0,0.32915823905369557,0.022787700133642213,0.17683644621215477,True
SHORT,15,position_plus_topology_compact_matrix,hold,ETHUSDT,3,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,0.0,0.0,1.0,0.4164713205375672,0.06643743077326889,0.2356848466842357,True
SHORT,15,position_plus_topology_compact_matrix,hold,SOLUSDT,3,0.4000000000000001,0.02041241452319317,0.37500000000000006,0.4250000000000001,0.050000000000000044,0.3333333333333333,1.0,0.3754300810737516,0.008326863995981716,0.362434762202116,True
SHORT,30,position_plus_topology,exit,ALL,3,0.41666666666666674,0.031180478223116207,0.37500000000000006,0.4500000000000001,0.07500000000000007,0.0,0.0,0.4558156795644373,0.01038845157557242,0.12978529839883554,True
SHORT,30,position_plus_topology,exit,BTCUSDT,3,0.41666666666666674,0.023570226039551605,0.4000000000000001,0.4500000000000001,0.050000000000000044,0.3333333333333333,1.0,0.42299376530338034,0.025442344453038786,0.1013995843783078,True
SHORT,30,position_plus_topology,exit,ETHUSDT,3,0.4000000000000001,0.02041241452319317,0.37500000000000006,0.4250000000000001,0.050000000000000044,0.0,1.0,0.45365274559853014,0.021707192146876747,0.2001668384647108,True
SHORT,30,position_plus_topology,exit,SOLUSDT,3,0.40833333333333344,0.031180478223116207,0.37500000000000006,0.4500000000000001,0.07500000000000007,0.0,1.0,0.42517751366654144,0.015665981980027666,0.2097582629497523,True
SHORT,30,position_plus_topology,hold,ALL,3,0.40833333333333344,0.058925565098879015,0.325,0.4500000000000001,0.1250000000000001,0.0,0.0,0.4239173045402258,0.028839566087619697,0.3218340611353712,False
SHORT,30,position_plus_topology,hold,BTCUSDT,3,0.4250000000000001,0.02041241452319317,0.4000000000000001,0.4500000000000001,0.050000000000000044,0.0,1.0,0.3517889417869357,0.05629836498818191,0.21985471559939643,True
SHORT,30,position_plus_topology,hold,ETHUSDT,3,0.37500000000000006,0.03535533905932741,0.325,0.4000000000000001,0.07500000000000007,0.0,1.0,0.428433958497945,0.027927686349830113,0.4824036355951249,True
SHORT,30,position_plus_topology,hold,SOLUSDT,3,0.3916666666666668,0.06561673228343182,0.3,0.4500000000000001,0.15000000000000013,0.0,1.0,0.4484286358323745,0.04175400655050918,0.4480817374434396,False
SHORT,30,position_plus_topology_compact_matrix,exit,ALL,3,0.3916666666666668,0.011785113019775804,0.37500000000000006,0.4000000000000001,0.025000000000000022,0.0,0.0,0.4474603493550495,0.016891527022868287,0.17485443959243085,True
SHORT,30,position_plus_topology_compact_matrix,exit,BTCUSDT,3,0.4250000000000001,0.03535533905932741,0.37500000000000006,0.4500000000000001,0.07500000000000007,0.0,1.0,0.4293512909560615,0.02283548686221735,0.05638840745223724,True
